timestamp_ms,frametime_ms,fps
1757230055684,2.763,361.91
1757230055692,8.338,119.93
1757230055699,8.310,120.34
1757230055708,8.393,119.15
1757230055718,9.551,104.71
1757230055726,8.026,124.59
1757230055734,7.995,125.07
1757230055742,8.309,120.35
1757230055751,8.315,120.26
1757230055759,8.354,119.70
1757230055768,9.142,109.38
1757230055776,7.651,130.70
1757230055784,8.246,121.27
1757230055793,8.916,112.16
1757230055801,7.824,127.81
1757230055809,8.621,115.99
1757230055819,10.000,100.00
1757230055827,7.377,135.56
1757230055836,9.103,109.86
1757230055843,7.919,126.28
1757230055852,8.339,119.92
1757230055860,8.362,119.59
1757230055870,9.823,101.80
1757230055877,7.253,137.88
1757230055886,8.317,120.24
1757230055894,8.625,115.94
1757230055903,8.046,124.29
1757230055912,8.850,112.99
1757230055921,8.899,112.38
1757230055928,7.570,132.10
1757230055936,8.284,120.71
1757230055945,8.476,117.98
1757230055953,8.194,122.05
1757230055961,8.298,120.51
1757230055970,9.146,109.34
1757230055979,8.727,114.59
1757230055987,8.623,115.96
1757230055996,8.246,121.27
1757230056004,8.329,120.07
1757230056013,8.339,119.92
1757230056022,9.656,103.57
1757230056029,7.546,132.53
1757230056038,8.191,122.09
1757230056046,8.346,119.82
1757230056054,8.375,119.41
1757230056063,8.601,116.27
1757230056072,9.193,108.77
1757230056081,8.272,120.89
1757230056089,8.524,117.32
1757230056098,8.287,120.67
1757230056106,8.327,120.09
1757230056114,8.342,119.87
1757230056124,9.650,103.62
1757230056131,7.158,139.70
1757230056140,9.010,110.99
1757230056149,8.770,114.03
1757230056157,8.608,116.17
1757230056168,10.146,98.56
1757230056175,7.831,127.69
1757230056183,8.245,121.29
1757230056192,8.700,114.95
1757230056201,9.273,107.84
1757230056210,7.997,125.05
1757230056219,9.029,110.75
1757230056226,7.584,131.85
1757230056234,8.386,119.25
1757230056243,8.638,115.77
1757230056252,8.153,122.65
1757230056259,8.331,120.03
1757230056268,9.062,110.35
1757230056277,7.711,129.68
1757230056285,8.591,116.41
1757230056293,8.049,124.24
1757230056302,8.260,121.07
1757230056310,8.349,119.77
1757230056319,9.034,110.69
1757230056327,8.439,118.49
1757230056336,8.286,120.68
1757230056343,8.337,119.94
1757230056352,8.338,119.94
1757230056361,8.328,120.07
1757230056369,9.087,110.05
1757230056378,7.891,126.73
1757230056385,8.305,120.40
1757230056394,8.097,123.50
1757230056402,8.327,120.10
1757230056412,9.156,109.22
1757230056419,8.847,113.03
1757230056428,7.584,131.85
1757230056436,8.335,119.98
1757230056444,8.336,119.96
1757230056453,8.798,113.67
1757230056462,8.358,119.65
1757230056471,9.112,109.75
1757230056478,7.662,130.51
1757230056486,8.258,121.09
1757230056495,8.482,117.90
1757230056504,8.410,118.91
1757230056512,8.769,114.04
